filename; initial time; seconds; RED model; GREEN model; win/draw; total moves; move ratio;faction; model; avg_prompt; avg_req; max_req; min_req; avg_attempts; move_attempts; failed_moves; success_moves;% failed moves; total_internal_moves; total_internal_wrong_moves; total_internal_success_moves; %internal_failed_moves; %internal_success_moves;attack_attempts; attack_internal_attempts; success_attack_attempts; %success_attempts; %failed_attempts;total_internal_wrong_attacks; total_internal_success_attack; total_attacks; %success_attacks; %failed_attacks; %faulty_messages; enemy_targets; ally_targets; target_targets; target_waves;faction; model; avg_prompt; avg_req; max_req; min_req; avg_attempts; move_attempts; failed_moves; success_moves;% failed moves; total_internal_moves; total_internal_wrong_moves; total_internal_success_moves; %internal_failed_moves; %internal_success_moves;attack_attempts; attack_internal_attempts; success_attack_attempts; %success_attempts; %failed_attempts;total_internal_wrong_attacks; total_internal_success_attack; total_attacks; %success_attacks; %failed_attacks; %faulty_messages; enemy_targets; ally_targets; target_targets; target_waves;
ProcessLogs/AI Wars = Green[Mistral-Prompt_4] x Red[GPT-Prompt_4] -2026-02-11-23-44-34.log;2026-02-11 23:44:34;636.0;RED o4-mini;GREEN ministral-3b-2512;INFO Faction Green won.-INFO LLM Mistral|ministral-3b-2512 won.;37;0.57/0.43;Faction = |Green; Model = ministral-3b-2512;4286.33;847.96;3703.00;456.00;1.00;21.00;19.00;2.00;90.48;21.00;6.00;15.00;28.57;71.43;7.00;26.00;7.00;100.00;0.00;19.00;7.00;26.00;26.92;73.08;0.00;6.00;0.00;1.00;0.00;Faction = |Red; Model = o4-mini;4286.58;20110.58;37983.00;7275.00;1.00;16.00;2.00;14.00;12.50;16.00;0.00;16.00;0.00;100.00;13.00;15.00;13.00;100.00;0.00;2.00;13.00;15.00;86.67;13.33;0.00;8.00;0.00;0.00;5.00
ProcessLogs/AI Wars = Red[DeepSeek-Prompt_4] x Green[Mistral-Prompt_4] -2026-02-11-16-38-26.log;2026-02-11 16:38:26;1175.0;RED deepseek-chat;GREEN ministral-3b-2512;INFO Draw! No faction won.;245;0.56/0.44;Faction = |Green; Model = ministral-3b-2512;4238.79;882.53;5135.00;416.00;1.00;107.00;70.00;37.00;65.42;107.00;7.00;100.00;6.54;93.46;9.00;79.00;9.00;100.00;0.00;70.00;9.00;79.00;11.39;88.61;0.00;6.00;0.00;2.00;1.00;Faction = |Red; Model = deepseek-chat;4258.93;3355.80;4763.00;2351.00;1.00;138.00;8.00;130.00;5.80;138.00;0.00;138.00;0.00;100.00;7.00;15.00;7.00;100.00;0.00;8.00;7.00;15.00;46.67;53.33;0.00;7.00;0.00;0.00;0.00
ProcessLogs/AI Wars = Red[Gemini-Prompt_4] x Green[DeepSeek-Prompt_4] -2026-02-11-15-05-49.log;2026-02-11 15:05:49;318.0;RED gemini-2.5-flash;GREEN deepseek-chat;INFO Faction Red won.-INFO LLM Gemini|gemini-2.5-flash won.;21;0.52/0.48;Faction = |Green; Model = deepseek-chat;4300.36;3347.55;3918.00;2612.00;1.00;10.00;2.00;8.00;20.00;10.00;0.00;10.00;0.00;100.00;1.00;3.00;1.00;100.00;0.00;2.00;1.00;3.00;33.33;66.67;0.00;1.00;0.00;0.00;0.00;Faction = |Red; Model = gemini-2.5-flash;4297.21;15244.07;19037.00;8942.00;1.00;11.00;2.00;9.00;18.18;11.00;0.00;11.00;0.00;100.00;9.00;11.00;9.00;100.00;0.00;2.00;9.00;11.00;81.82;18.18;0.00;7.00;0.00;0.00;2.00
ProcessLogs/AI Wars = Green[Mistral-Prompt_4] x Red[Gemini-Prompt_4] -2026-02-11-19-32-55.log;2026-02-11 19:32:55;838.0;RED gemini-2.5-flash;GREEN magistral-small-2509;INFO Faction Red won.-INFO LLM Gemini|gemini-2.5-flash won.;20;0.60/0.40;Faction = |Green; Model = magistral-small-2509;4292.00;17856.83;25224.00;7840.00;1.64;8.00;8.00;0.00;100.00;8.00;1.00;7.00;12.50;87.50;2.00;10.00;2.00;100.00;0.00;8.00;2.00;10.00;20.00;80.00;9.00;1.00;0.00;0.00;1.00;Faction = |Red; Model = gemini-2.5-flash;4279.95;14342.40;19200.00;6095.00;1.00;12.00;7.00;5.00;58.33;12.00;0.00;12.00;0.00;100.00;11.00;18.00;11.00;100.00;0.00;7.00;11.00;18.00;61.11;38.89;0.00;9.00;0.00;0.00;2.00
ProcessLogs/AI Wars = Red[Gemini-Prompt_4] x Green[GPT-Prompt_4] -2026-02-11-14-58-59.log;2026-02-11 14:58:59;405.0;RED gemini-2.5-flash;GREEN gpt-4.1;INFO Faction Red won.-INFO LLM Gemini|gemini-2.5-flash won.;24;0.71/0.29;Faction = |Green; Model = gpt-4.1;4287.75;2629.92;4253.00;1633.00;1.00;7.00;0.00;7.00;0.00;7.00;0.00;7.00;0.00;100.00;6.00;6.00;6.00;100.00;0.00;0.00;6.00;6.00;100.00;0.00;0.00;4.00;0.00;1.00;1.00;Faction = |Red; Model = gemini-2.5-flash;4272.95;14951.74;19061.00;7578.00;1.00;19.00;7.00;12.00;36.84;17.00;0.00;17.00;0.00;100.00;9.00;16.00;9.00;100.00;0.00;7.00;9.00;16.00;56.25;43.75;0.00;9.00;0.00;0.00;0.00
ProcessLogs/AI Wars = Green[Mistral-Prompt_4] x Red[DeepSeek-Prompt_4] -2026-02-11-20-04-55.log;2026-02-11 20:04:55;582.0;RED deepseek-chat;GREEN magistral-small-2509;INFO Faction Green won.-INFO LLM Mistral|magistral-small-2509 won.;19;0.53/0.47;Faction = |Green; Model = magistral-small-2509;4296.12;18872.96;26295.00;10722.00;1.44;10.00;0.00;10.00;0.00;10.00;0.00;10.00;0.00;100.00;9.00;9.00;9.00;100.00;0.00;0.00;9.00;9.00;100.00;0.00;7.00;4.00;0.00;0.00;5.00;Faction = |Red; Model = deepseek-chat;4331.00;2818.17;3420.00;2315.00;1.00;9.00;5.00;4.00;55.56;9.00;0.00;9.00;0.00;100.00;3.00;8.00;3.00;100.00;0.00;5.00;3.00;8.00;37.50;62.50;0.00;3.00;0.00;0.00;0.00
ProcessLogs/AI Wars = Green[Mistral-Prompt_4] x Red[DeepSeek-Prompt_4] -2026-02-11-19-46-58.log;2026-02-11 19:46:58;558.0;RED deepseek-chat;GREEN magistral-small-2509;INFO Faction Red won.-INFO LLM DeepSeek|deepseek-chat won.;17;0.53/0.47;Faction = |Green; Model = magistral-small-2509;4315.07;20220.75;28542.00;14057.00;1.33;8.00;1.00;7.00;12.50;8.00;0.00;8.00;0.00;100.00;8.00;9.00;8.00;100.00;0.00;1.00;8.00;9.00;88.89;11.11;5.00;5.00;0.00;0.00;3.00;Faction = |Red; Model = deepseek-chat;4305.25;2803.50;3540.00;2505.00;1.00;9.00;1.00;8.00;11.11;9.00;0.00;9.00;0.00;100.00;9.00;10.00;9.00;100.00;0.00;1.00;9.00;10.00;90.00;10.00;0.00;9.00;0.00;0.00;0.00
ProcessLogs/AI Wars = Red[Gemini-Prompt_4] x Green[DeepSeek-Prompt_4] -2026-02-11-15-11-12.log;2026-02-11 15:11:12;397.0;RED gemini-2.5-flash;GREEN deepseek-chat;INFO Faction Red won.-INFO LLM Gemini|gemini-2.5-flash won.;20;0.60/0.40;Faction = |Green; Model = deepseek-chat;4300.47;3188.47;4274.00;2673.00;1.00;8.00;1.00;7.00;12.50;8.00;0.00;8.00;0.00;100.00;7.00;8.00;7.00;100.00;0.00;1.00;7.00;8.00;87.50;12.50;0.00;7.00;0.00;0.00;0.00;Faction = |Red; Model = gemini-2.5-flash;4283.56;16520.88;20110.00;12926.00;1.00;13.00;3.00;10.00;23.08;12.00;0.00;12.00;0.00;100.00;9.00;12.00;9.00;100.00;0.00;3.00;9.00;12.00;75.00;25.00;0.00;9.00;0.00;0.00;0.00
ProcessLogs/AI Wars = Green[Mistral-Prompt_4] x Red[Gemini-Prompt_4] -2026-02-12-00-28-24.log;2026-02-12 00:28:24;140.0;RED gemini-2.5-flash-lite;GREEN ministral-3b-2512;INFO Faction Green won.-INFO LLM Mistral|ministral-3b-2512 won.;33;0.58/0.42;Faction = |Green; Model = ministral-3b-2512;4304.76;837.05;1089.00;483.00;1.00;19.00;8.00;11.00;42.11;19.00;6.00;13.00;31.58;68.42;10.00;18.00;10.00;100.00;0.00;8.00;10.00;18.00;55.56;44.44;0.00;8.00;0.00;1.00;1.00;Faction = |Red; Model = gemini-2.5-flash-lite;4340.76;792.38;1061.00;594.00;1.00;14.00;0.00;14.00;0.00;14.00;1.00;13.00;7.14;92.86;7.00;7.00;7.00;100.00;0.00;0.00;7.00;7.00;100.00;0.00;0.00;7.00;0.00;0.00;0.00
ProcessLogs/AI Wars = Green[DeepSeek-Prompt_4] x Red[GPT-Prompt_4] -2026-02-11-22-53-27.log;2026-02-11 22:53:27;517.0;RED o4-mini;GREEN deepseek-chat;INFO Faction Red won.-INFO LLM GPT|o4-mini won.;23;0.57/0.43;Faction = |Green; Model = deepseek-chat;4309.54;2709.00;3600.00;2239.00;1.00;10.00;1.00;9.00;10.00;10.00;0.00;10.00;0.00;100.00;3.00;4.00;3.00;100.00;0.00;1.00;3.00;4.00;75.00;25.00;0.00;3.00;0.00;0.00;0.00;Faction = |Red; Model = o4-mini;4280.81;25244.06;37987.00;6330.00;1.00;13.00;3.00;10.00;23.08;13.00;0.00;13.00;0.00;100.00;9.00;12.00;9.00;100.00;0.00;3.00;9.00;12.00;75.00;25.00;0.00;8.00;0.00;0.00;1.00
